,k=1,k=3,k=5
0,,0.0,
1,0.0,0.0,0.32085886376626294
2,0.0,0.0,-0.16976875166470162
3,0.08080933925614148,-0.05074384381813357,0.027360377109857392
4,0.0,0.0,0.03940098921244073
5,0.22840630208956014,1.3750177334463394,1.1279031832143978
6,0.0,0.0,0.02891653166519015
7,0.0,0.0,-0.05172125944779915
8,0.36947313329515596,0.14363341859562767,0.0031494838872957454
9,0.055524582505503406,0.09456788375633574,0.4964396587630616
10,0.0,0.0,0.0
11,0.0,0.17071567707761914,-0.10275882868413277
12,0.0,-0.36200016959715364,0.09651515086467882
13,0.0,-0.07410648518522372,0.0632766764167966
14,0.0,0.458956926173974,0.35797774899421053
15,-0.07937755671137003,-0.5385885128550907,-0.5385885128550907
16,0.0,0.11399846209040687,-0.0016750526267423904
17,0.29841901734730597,-0.01564446067274672,0.12454973256667634
18,-0.2715739749814634,0.14318959765135952,-0.03166023774030807
19,-0.19232540896459205,-0.19232540896459205,0.1910600554261036
20,0.0,0.0,0.0
21,0.0,-3.6150979825962346,-0.4701204714677355
22,-0.13766982181814535,-0.1385725930056494,-0.1385725930056494
23,0.0,-0.03867116062511944,-0.00722614448716552
24,0.0,0.0,-0.3305951630933609
25,-0.46386041702291136,-0.6758453603221058,-0.7882805235839859
26,0.0,-0.06924434231951299,0.03655751508332028
27,-0.08933691135046729,-0.08933691135046729,-0.2968389440105845
28,-0.4340412364117966,0.2909269948613216,0.319148069375386
29,0.5899560195675908,0.5591911549374307,0.5591911549374307
30,-0.4855387402715933,-0.5105432356104285,-0.0614000224867054
31,0.0,0.068669223310443,0.1042107832713901
32,-0.0006603159343160359,-0.2850101962711131,0.12139978538975105
33,0.0,-0.1516558125948015,-0.3693638739958052
34,0.0,-0.019570080729355177,-0.019570080729355177
35,-0.11864700490771485,-0.14748919849083725,-0.08505298223666258
36,0.0,-0.11443076425228249,-0.07190854027455928
37,0.0,0.0,-0.08745627940532874
38,0.0,0.2864428078219179,-26.90410382411172
39,-0.0,0.0,-0.0
40,3.875943719269334,4.524308032648973,4.544734964699506
41,0.0,0.2595749108989722,0.3012715831493915
42,0.0,0.029385358261819094,0.1050852116252039
43,0.0,0.4299402172376744,0.14968512191376748
44,-0.2203609318081995,-0.18910127273681643,0.014279199319642
45,-0.10098908058755668,0.10247164729156294,-0.06264423947044723
46,0.0,-0.051241615197469614,-0.059254229853851315
47,0.0,-0.09273487267207592,-0.09273487267207592
48,0.0,0.010792362820176482,-0.006453016779918386
49,0.2943057439948217,-0.025128926556268638,-0.004490643487551016
50,0.5703075309298771,0.5703075309298771,0.6763488890572831
51,0.0,0.038599189518444765,-0.00517788302400457
52,-0.21096232206456478,0.16639674212287603,0.12884441761257936
53,-0.1126049556073424,0.37083188930445005,0.4387535536829107
54,,,
55,0.0,0.43178628452707324,0.5577142896747053
56,0.00306972210011186,-0.42325768459611773,-0.42325768459611773
57,-0.4984323650158018,-0.42624576197564124,-0.5162289152223176
