,k=1,k=3,k=5
0,-0.3683598978711999,2.724232948193833,-1.4056067566655512
1,0.0,0.0,-0.054081478075624356
2,0.0,0.33349738430613374,0.33349738430613374
3,0.02401561440281716,-0.31804507117721076,-0.31804507117721076
4,0.0,-0.6707791335183846,-0.6707791335183846
5,-0.04362288561316552,-0.8335761225464113,-0.38275334336038436
6,0.0,0.0,-0.06457955673784366
7,0.0,0.0,-0.04479591278224293
8,0.0,-0.18180297071991897,-0.16514360903087205
9,-0.016306787356634045,0.2798187548092126,0.14758014848373358
10,0.0,0.0,0.0
11,-0.24691729309344607,-0.24691729309344607,0.01939349769346027
12,0.0,-0.2748210834043262,-0.2748210834043262
13,0.18978499625638953,0.12992912122698452,0.1340340144069581
14,0.0,0.10617844794276982,0.2743616889103495
15,0.6946569538307175,-2.8914717910932723,-1.2467318539682244
